year,month,chosen_sample,NDVI_mean_filtered_mean,n_filtered,coverage,n_max_month
2019,1,3,0.6358907539180059,81559,1.0,81559
2019,2,3,0.5936522875623736,81604,1.0,81604
2019,3,3,0.5696289381005115,81637,1.0,81637
2019,4,2,0.546537243623607,81647,1.0,81647
2019,5,1,0.5399207653111797,81252,1.0,81252
2019,6,2,0.5187548230123772,74945,1.0,74945
2019,7,2,0.5766972400097251,58989,1.0,58989
2019,8,2,0.6649253345217779,25118,1.0,25118
2019,9,1,0.6184868313818733,35598,1.0,35598
2019,10,2,0.633875629319524,53041,1.0,53041
2019,11,3,0.7036407309216397,81354,1.0,81354
2019,12,1,0.7000867080598849,81319,1.0,81319
2020,1,3,0.6317623023480361,82382,1.0,82382
2020,2,3,0.5977806691302676,82387,1.0,82387
2020,3,3,0.5894766371032476,82442,1.0,82442
2020,4,2,0.5684781659039654,80402,1.0,80402
2020,5,2,0.5780378571529331,82506,1.0,82506
2020,6,3,0.5413168519322129,82515,1.0,82515
2020,7,2,0.475126566844778,82475,1.0,82475
2020,8,2,0.6415362051185827,82438,1.0,82438
2020,9,1,0.671025811301513,81968,1.0,81968
2020,10,3,0.6745147750893209,82367,1.0,82367
2020,11,3,0.6712751068208467,82136,1.0,82136
2020,12,2,0.6105530046026741,82528,1.0,82528
2021,1,2,0.5063009550154369,82536,1.0,82536
2021,2,2,0.587315797896454,82520,1.0,82520
2021,3,2,0.5523973296663361,82529,1.0,82529
2021,4,1,0.5482248514279091,82527,1.0,82527
2021,5,2,0.5012271699545252,82531,1.0,82531
2021,6,2,0.4879760633975395,82474,1.0,82474
2021,7,1,0.45223022696826565,82523,1.0,82523
2021,8,1,0.6761858072316626,82209,1.0,82209
2021,9,2,0.4397042237712078,82548,1.0,82548
2021,10,3,0.6687579185878065,82358,1.0,82358
2021,11,2,0.6844605230878906,82223,1.0,82223
2021,12,2,0.5780029450236154,82319,1.0,82319
2022,1,3,0.5734600251461642,82488,1.0,82488
2022,2,1,0.459440261010533,82512,1.0,82512
2022,3,3,0.44894305301426524,82533,1.0,82533
2022,4,1,0.525614250897664,82520,1.0,82520
2022,5,2,0.5616933637170232,82414,1.0,82414
2022,6,2,0.4297857028291148,82486,1.0,82486
2022,7,2,0.6251010737693422,82416,1.0,82416
2022,8,2,0.5370060319105179,82493,1.0,82493
2022,9,1,0.6070107975888516,82106,1.0,82106
2022,10,3,0.6312651128100739,82361,1.0,82361
2022,11,3,0.5736349226411126,82442,1.0,82442
2022,12,3,0.615225790080432,82333,1.0,82333
2023,1,3,0.6257024968815239,82282,1.0,82282
2023,2,2,0.603986730692693,82378,1.0,82378
2023,3,2,0.5719879227669675,82474,1.0,82474
2023,4,3,0.4932800063990025,82507,1.0,82507
2023,5,2,0.5575097386145391,82462,1.0,82462
2023,6,3,0.5190978073417685,82461,1.0,82461
2023,7,3,0.49581346874012283,82394,1.0,82394
2023,8,2,0.4062352918775827,82467,1.0,82467
2023,9,1,0.5842779070789216,82195,1.0,82195
2023,10,1,0.5998956057232805,82322,1.0,82322
2023,11,3,0.5953803243635529,82225,1.0,82225
2023,12,1,0.47374848202915576,82471,1.0,82471
2024,1,3,0.6224132886406503,81399,1.0,81399
2024,2,3,0.6101492972345741,81473,1.0,81473
2024,3,3,0.5672934909795473,81629,1.0,81629
2024,4,2,0.5613731981422067,77606,1.0,77606
2024,5,3,0.5127947283198381,74791,1.0,74791
2024,6,2,0.5379414393880567,80732,1.0,80732
2024,7,1,0.5391286964793004,34625,1.0,34625
2024,8,1,0.639994025550663,79864,1.0,79864
2024,9,3,0.6607067416780812,49205,1.0,49205
2024,10,2,0.6823755710586555,68220,1.0,68220
2024,11,3,0.6895618815741914,81282,1.0,81282
2024,12,1,0.6068571888955282,81444,1.0,81444
